792,1,1
792,2,1
792,4,1
792,5,1
792,6,1
792,7,1
474,1,1
474,2,1
474,3,1
474,4,1
474,6,1
474,7,1
831,1,1
831,2,1
831,3,1
831,4,1
831,6,1
831,7,1
204,1,1
204,2,1
204,3,1
204,4,1
204,5,1
204,6,1
204,7,1
62,1,1
62,2,1
62,3,1
62,4,1
62,5,1
62,6,1
62,7,1
479,1,1
479,2,1
479,3,1
479,6,1
479,7,1
224,1,1
224,2,1
224,3,1
224,4,1
224,5,1
224,6,1
224,7,1
686,1,1
686,2,1
686,3,1
686,4,1
686,6,1
686,7,1
519,1,1
519,2,1
519,3,1
519,4,1
519,7,1
253,1,1
253,2,1
253,3,1
253,4,1
253,5,1
253,6,1
253,7,1
263,1,1
263,2,1
263,3,1
263,5,1
263,6,1
263,7,1
616,1,1
616,2,1
616,3,1
616,6,1
616,7,1
331,1,1
331,2,1
331,3,1
331,6,1
331,7,1
355,2,1
355,4,1
355,6,1
355,7,1
450,1,1
450,2,1
450,3,1
450,4,1
450,7,1
151,1,1
151,2,1
151,3,1
151,4,1
151,5,1
151,6,1
151,7,1
52,1,1
52,2,1
52,3,1
52,5,1
52,6,1
52,7,1
3,1,1
3,2,1
3,3,1
3,5,1
3,6,1
3,7,1
908,1,1
908,2,1
908,4,1
908,5,1
908,7,1
913,1,1
913,5,1
913,6,1
913,7,1
777,1,1
777,2,1
777,4,1
777,5,1
777,6,1
777,7,1
292,1,1
292,2,1
292,3,1
292,4,1
292,5,1
292,6,1
292,7,1
272,1,1
272,2,1
272,3,1
272,4,1
272,5,1
272,6,1
272,7,1
254,2,1
254,3,1
254,6,1
254,7,1
831,1,1
831,2,1
831,3,1
831,5,1
831,6,1
831,7,1
236,1,1
236,2,1
236,3,1
236,5,1
236,6,1
236,7,1
445,1,1
445,2,1
445,3,1
445,4,1
445,5,1
445,6,1
445,7,1
437,1,1
437,2,1
437,3,1
437,5,1
437,6,1
437,7,1
705,1,1
705,2,1
705,3,1
705,4,1
705,5,1
705,6,1
705,7,1
952,1,1
952,2,1
952,3,1
952,6,1
952,7,1
938,1,1
938,5,1
938,6,1
938,7,1
904,1,1
904,2,1
904,3,1
904,6,1
904,7,1
953,1,1
953,2,1
953,3,1
953,4,1
953,7,1
805,1,1
805,2,1
805,3,1
805,4,1
805,5,1
805,6,1
805,7,1
971,1,1
971,6,1
971,7,1
799,2,1
799,3,1
799,6,1
799,7,1
697,1,1
697,5,1
697,6,1
697,7,1
554,1,1
554,2,1
554,3,1
554,5,1
554,6,1
554,7,1
13,1,1
13,2,1
13,3,1
13,5,1
13,6,1
13,7,1
339,1,1
339,2,1
339,3,1
339,6,1
339,7,1
338,1,1
338,2,1
338,3,1
338,4,1
338,6,1
338,7,1
359,6,1
359,7,1
179,1,1
179,2,1
179,3,1
179,4,1
179,7,1
179,1,1
179,2,1
179,3,1
179,4,1
179,5,1
179,6,1
179,7,1
705,1,1
705,2,1
705,3,1
705,4,1
705,5,1
705,6,1
705,7,1
913,1,1
913,2,1
913,3,1
913,6,1
913,7,1
